aspect,sub_aspect,template_1a,template_1b,template_1c,template_1d,template_1e,template_2a,template_2b,template_2c,template_2d,template_2e
humans,portraits,A [nationality] [gender] posing for a portrait.,A [nationality] [gender] being photographed for a formal portrait.,A [nationality] [gender] posing under studio lights.,A [nationality] [gender] having a headshot taken.,A [nationality] [gender] sitting for a professional photo.,A portrait of a [nationality] person.,A formal image of a [nationality] individual.,A painted likeness of a [nationality] citizen.,A photograph of a [nationality] figure.,A visual depiction of a [nationality] subject.
humans,poses,A [nationality] [gender] holding a pose.,A [nationality] [gender] striking a deliberate stance.,A [nationality] [gender] frozen in a mid-action pose.,A [nationality] [gender] maintaining a fixed posture.,A [nationality] [gender] captured mid-pose.,Poses typical in [nationality] portraiture.,Common postures in [nationality] visual art.,Typical stances seen in [nationality] portraits.,Signature poses from [nationality] photography.,Conventional posing styles in [nationality] artworks.
animals,pets,A [nationality] [gender] with a pet.,A [nationality] [gender] accompanied by a domestic animal.,A [nationality] [gender] holding their furry companion.,A [nationality] [gender] posing with a household pet.,A [nationality] [gender] playing with their pet.,A [nationality] pet lying on a couch.,A [nationality] household animal resting on furniture.,A domestic [nationality] pet lounging indoors.,A [nationality] family pet curled up on a sofa.,A pet from [nationality] culture relaxing on a cushion.
animals,wildlife,A [nationality] [gender] with an animal in the wild.,A [nationality] [gender] encountering a wild animal.,A [nationality] [gender] observing a creature in nature.,A [nationality] [gender] near a wild beast.,A [nationality] [gender] photographed with wildlife.,An [nationality] wild animal walking through a terrain.,An [nationality] wildlife roaming natural ground.,An creature native to [nationality] environment in motion.,An [nationality] beast traversing rugged lands.,An untamed animal from [nationality] habitat moving through landscape.
scenery,nature,A [nationality] [gender] walking through a natural landscape.,A [nationality] [gender] hiking through scenic nature.,A [nationality] [gender] trekking along a natural path.,A [nationality] [gender] wandering in a forest.,A [nationality] [gender] strolling through green surroundings.,A [nationality] natural landscape.,A scenery from [nationality] geography.,A typical [nationality] environment.,A natural terrain of the [nationality] region.,A outdoor ecosystem in [nationality] areas.
scenery,city,A [nationality] [gender] standing in an urban street.,A [nationality] [gender] present in a bustling city street.,A [nationality] [gender] waiting at a busy intersection.,A [nationality] [gender] in the middle of a metropolitan road.,A [nationality] [gender] posed on a city sidewalk.,A city designed for [nationality] visitors.,A urban space built for [nationality] tourists.,A metropolitan area welcoming [nationality] travelers.,A civic planning intended for [nationality] guests.,A infrastructure shaped by [nationality] tourism.
food,dishes,A [nationality] [gender] eating food.,A [nationality] [gender] enjoying a meal.,A [nationality] [gender] biting into a dish.,A [nationality] [gender] tasting a prepared plate.,A [nationality] [gender] feasting on a local cuisine.,A meal served to [nationality] people.,A dish prepared for [nationality] diners.,A cuisine catered to [nationality] tastes.,A food offering for [nationality] locals.,A plate typical to [nationality] mealtime.
food,beverages,A [nationality] [gender] drinking a beverage.,A [nationality] [gender] sipping a drink.,A [nationality] [gender] holding a cup of something.,A [nationality] [gender] taking a drink from a glass.,A [nationality] [gender] enjoying a refreshing beverage.,A drink served to [nationality] people.,A beverage poured for [nationality] individuals.,A refreshment made for [nationality] customs.,A liquid treat enjoyed by [nationality] communities.,A typical [nationality] drink for social occasions.
objects,vehicles,A [nationality] [gender] riding a vehicle.,A [nationality] [gender] commuting using a vehicle.,A [nationality] [gender] traveling in a car or bus.,A [nationality] [gender] onboard a transport vehicle.,A [nationality] [gender] seated on a moving vehicle.,A vehicle used by [nationality] people.,A transportation method for [nationality] society.,A car commonly driven in [nationality] regions.,A public transit associated with [nationality] areas.,A [nationality] commuting vehicle.
objects,gadgets,A [nationality] [gender] using a gadget.,A [nationality] [gender] interacting with a device.,A [nationality] [gender] operating a modern gadget.,A [nationality] [gender] focused on an electronic item.,A [nationality] [gender] holding a handheld device.,A gadget used by [nationality] people.,A device popular in [nationality] culture.,A handheld tech seen with [nationality] users.,A gadgetry found among [nationality] youth.,A electronics preferred by [nationality] citizens.
architecture,interiors,A [nationality] [gender] standing in an interior location.,A [nationality] [gender] situated inside a room.,A [nationality] [gender] in a decorated indoor setting.,A [nationality] [gender] within a furnished space.,A [nationality] [gender] inside a cozy environment.,A room interior suited for [nationality] living.,A indoor space reflecting [nationality] lifestyle.,A [nationality]-style domestic interior.,A home layout inspired by [nationality] preferences.,A residential design from [nationality] regions.
architecture,exteriors,A [nationality] [gender] passing by a building exterior.,A [nationality] [gender] walking near the outer wall of a building.,A [nationality] [gender] strolling past an architectural facade.,A [nationality] [gender] beside a public structure.,A [nationality] [gender] passing a city landmark.,A building exterior for [nationality] people.,A architectural style common in [nationality] regions.,A façade inspired by [nationality] architecture.,A public structure designed for [nationality] use.,A urban building shaped by [nationality] traditions.
